thermodynamics,热力学
heat engine,热机
heat pump,热泵
entropy,熵
enthalpy,焓
condensor,冷凝器
evaporator,蒸发器
control volume,控制体积
refrigerant,制冷剂
saturated,饱和的
HVAC(Heating Ventilating Air Conditioning),供暖通风空调
Fourier’s Law,傅里叶定律
thermophysical,热物性的
kinematic viscosity,动力黏度
spectral,光谱的
heat-transfer coefficient,传热系数
refraction,折射
absorptivity,吸收率
Cartesian coordinates,笛卡尔坐标系
thermal conductivity,导热系数
shear forces,剪切力
nondimensional,无量纲的
frictional forces,摩擦力
inviscid,无黏性
laminar flow,层流
eddy,涡旋
viscosity,黏度
inertia forces,惯性力
pressure losses,压力损失
hydraulic diameter,水力直径
phlogiston,可燃质、可燃素
carbon monoxide,一氧化碳
methane,甲烷
Bunsen Burner,本生燃烧器
calorimeter,量热器
academician,院士、会员
specific heat,比热
flame propagation,火焰传播
laminar flame,层流火焰
activation energy,活化能
universal gas constant,通用气体常数
free radical,自由基团
preclude,预防、排除、妨碍
residual oil,残渣油
coke-oven gas,焦炉气
lignin,木质素
lignite,褐煤
peat,泥煤
fixed carbon,固定碳
vegetation,植物、植被生长
coalification,煤化（过程）
anthracite,无烟煤
bituminous,烟煤
subbituminous,次烟煤
flash point,闪点
chromatography,色谱法、色谱
strata,（地、岩、阶）层
hermetically,密封着地、气密
carrier air,输送（携带）空气
pulverized fuel,煤粉
fixed grate,固定炉排
bubbling type of fluidized bed,鼓泡式流化床
stoker firing,火床燃烧、层状燃烧
vortex,涡流
soot-blowing,吹灰
cyclone,旋风分离器
limestone,石灰石
circulating fluidized bed,循环流化床
scrubbing system,洗涤系统
aperture,孔、洞、嘴
biasing of airflow,偏置流动、流量偏置
entrained-flow,携带流
calcine,焙烧、煅烧
inventory,清单、报表、机器设备
sulfur dioxide,二氧化硫
photochemical,光化学的
smog,烟雾
collectively referred to as,统称为
bench-scale,实验室（规模）的
prompt NO,快速NO
thermal NO,热力NO
fuel NOx,燃料NOx
turbulence,湍流
fuel-rich,燃料富有的
fuel-lean,燃料贫乏的
fuel-bound oxygen,燃料（结合的）氧
fuel-bound nitrogen,燃料（结合的）氮
devolatilization,析出、释放出
Carnot cycle,卡诺循环
Rankine cycle,朗肯循环
power plant,电站
boiler,锅炉
steam generator,锅炉，蒸汽发生器
burner,燃烧器
flue gas,烟气
electrostatic precipitator,静电除尘器
bag filterhouse,布袋式除尘器
sulfur dioxide scrubbing system,脱硫系统
steam turbine,汽轮机
electric generator,发电机
fossil-fuel,化石燃料
pulverized-coal,煤粉
forced-draft fan,送风机
cycle efficiency,循环效率
primary air fan,一次风机
pulverizer,磨煤机
stack,烟囱
induced-draft fan,引风机
furnace,炉膛
sootblower,吹灰器
air heater,空气预热器
reheat cycle,再热循环
feedwater heater,给水加热器
deaerating heater,除氧器
hydropower,水力
hydroelectric powerplant,水电站
dam,水坝
reservoir,水库
exciter,励磁机
governor system,调节系统
protective device,保护装置
transformer,变压器
spillway,泄洪道
penstock,水渠
powerhouse,电站厂房
surge tank,调压室
switchyard,高压开关站
hydraulic turbine,水轮机
draft tube,尾水管
generator,发电机
crane,起重机
gantry crane,龙门起重机
insulator,绝缘子
